"talk.edits","words.added","editors","talk.density","talk.diameter","talk.clustering.coef","talk.kcore.gt.2","days.from.start.to.end","days.from.half.to.end","founding.date"
39,134025,36,0.128654970760234,4,0.417910447761194,0.526315789473684,537,70,"2008-03-13 19:50:54"
8,1058573,37,0.4,2,0.8,0.8,690,97,"2007-06-12 16:31:08"
209,568055,224,0.0747728860936408,4,0.354679802955665,0.666666666666667,841,17,"2004-11-11 23:33:14"
41,180489,124,0.102941176470588,3,0.189189189189189,0.352941176470588,1427,456,"2004-11-11 23:33:14"
0,77575,331,NA,0,NA,NA,147,59,"2004-01-04 05:57:25"
113,225569,99,0.179166666666667,4,0.457627118644068,0.75,120,19,"2009-07-20 10:07:06"
3,93760,28,0.5,1,NA,0,78,28,"2006-06-15 23:53:04"
0,126358,283,NA,0,NA,NA,1071,431,"2004-11-02 14:53:38"
9,204109,51,0.133333333333333,1,NA,0,355,345,"2006-05-18 20:02:05"
83,134668,61,0.308333333333333,4,0.617886178861789,0.875,31,11,"2005-06-02 21:34:05"
15,87564,129,0.196428571428571,2,0.75,0.5,534,7,"2008-03-13 20:58:09"
16,212646,28,0.55,1,1,1,200,129,"2006-06-12 11:27:12"
23,91108,82,0.3,2,0.25,0.5,10,7,"2009-02-21 23:03:25"
17,136846,133,0.0824175824175824,3,0.818181818181818,0.285714285714286,1212,139,"2004-11-11 23:33:14"
63,250091,81,0.148351648351648,3,0.253012048192771,0.428571428571429,188,168,"2007-09-25 01:36:37"
73,88635,60,0.103333333333333,6,0.508064516129032,0.56,438,405,"2008-04-06 00:26:07"
23,216150,78,0.127272727272727,2,0.264705882352941,0.272727272727273,441,115,"2007-08-09 22:31:49"
8,849466,27,0.5,3,0.6,0,18,3,"2009-05-19 17:31:46"
42,303737,20,0.15,1,0,0,65,26,"2006-01-14 17:39:33"
57,69237,121,0.0923913043478261,3,0.463320463320463,0.5,1246,420,"2004-11-11 23:33:14"
37,31532,57,0.145454545454545,4,0.230769230769231,0,207,168,"2007-05-12 13:36:02"
24,100147,20,0.177777777777778,3,0.219512195121951,0.4,79,56,"2008-07-14 22:59:12"
4,131941,19,0.666666666666667,1,1,0,384,24,"2007-08-09 22:31:49"
39,102063,69,0.0904761904761905,3,0.333333333333333,0,163,17,"2008-04-02 00:48:08"
56,240010,101,0.127450980392157,3,0.328947368421053,0.5,308,22,"2006-06-05 03:02:41"
16,70365,17,0.566666666666667,2,0.882352941176471,0.833333333333333,5,3,"2007-10-11 16:51:01"
157,81197,216,0.011996336996337,4,0.0274572224432949,0.0952380952380952,120,9,"2007-07-28 08:49:42"
41,53075,9,0.266666666666667,3,0.491803278688525,0.6,12,2,"2008-10-28 14:19:05"
21,159015,116,0.211111111111111,3,0.66,0.6,198,7,"2007-09-05 17:15:19"
2,651435,141,0.5,1,1,0,748,65,"2006-01-18 15:01:22"
110,216028,108,0.0918003565062389,4,0.351183063511831,0.529411764705882,1038,11,"2004-11-11 23:33:14"
163,134672,125,0.0552061495457722,5,0.289007092198582,0.481481481481482,1382,61,"2004-11-11 23:33:14"
47,1105077,139,0.120915032679739,2,0.375,0.555555555555556,436,80,"2007-03-11 22:53:01"
9,141307,82,NA,0,NA,NA,940,145,"2005-09-07 07:59:58"
43,94221,62,0.212121212121212,4,0.525,0.666666666666667,338,29,"2007-11-13 17:42:31"
7,89651,27,0.3,2,0.428571428571429,0,3,0,"2007-06-11 17:44:43"
26,268348,68,0.121794871794872,2,0.214285714285714,0.461538461538462,335,276,"2006-07-11 02:41:45"
169,186570,53,0.0570707070707071,3,0.193029490616622,0.355555555555556,331,10,"2006-06-09 08:56:31"
12,331595,37,0.111111111111111,2,0.375,0,222,55,"2006-05-13 16:09:10"
5,238514,100,1,1,NA,0,430,91,"2007-11-20 06:07:27"
398,267005,122,0.0690045248868778,5,0.36,0.557692307692308,410,71,"2007-11-20 03:09:14"
58,145492,190,0.0948275862068966,4,0.551351351351351,0.586206896551724,716,333,"2004-11-11 23:33:14"
478,12559,161,0.0327635327635328,2,0,0,1076,64,"2005-08-12 17:14:55"
20,89004,81,0.0904761904761905,3,0.387096774193548,0,711,542,"2006-05-27 11:37:11"
26,35277,59,0.288888888888889,3,0.786885245901639,0.6,132,52,"2008-11-17 23:20:19"
12,266565,43,0.266666666666667,2,1,0.5,589,69,"2007-08-09 22:31:49"
0,130243,26,NA,0,NA,NA,71,53,"2008-04-17 19:59:01"
1,77927,61,NA,0,NA,NA,805,45,"2005-03-18 19:08:57"
19,70531,50,0.238095238095238,3,0.631578947368421,0.571428571428571,390,381,"2004-12-21 13:48:32"
12,35842,71,0.133333333333333,2,0.818181818181818,0.4,1103,175,"2006-08-17 18:44:05"
20,113280,221,0.109090909090909,2,0.461538461538462,0.272727272727273,311,53,"2008-03-14 14:55:24"
70,60811,18,0.1125,3,0.116883116883117,0.3125,223,6,"2007-08-28 17:22:05"
1,109471,26,0.5,1,NA,0,33,13,"2009-08-13 17:30:03"
17,62984,90,0.218181818181818,4,0.692307692307692,0.636363636363636,473,57,"2008-03-13 19:50:54"
31,66707,93,0.105263157894737,3,0.58695652173913,0.35,473,155,"2008-03-13 19:54:05"
6,71439,22,0.5,1,NA,0,3,2,"2009-04-05 16:33:07"
84,1439263,63,0.117647058823529,5,0.517723880597015,0.676470588235294,631,186,"2004-11-11 23:33:14"
112,139713,23,0.181318681318681,3,0.398230088495575,0.571428571428571,191,25,"2006-06-16 05:33:21"
82,82928,74,0.230994152046784,4,0.573849878934625,0.894736842105263,782,21,"2005-07-16 18:24:52"
63,509663,63,0.0885057471264368,4,0.44331983805668,0.433333333333333,349,61,"2007-06-12 00:03:29"
32,64128,114,0.0847953216374269,3,0.297520661157025,0.263157894736842,657,52,"2007-08-09 22:31:49"
48,264379,242,0.0687830687830688,3,0.457894736842105,0.464285714285714,1145,377,"2006-03-19 22:44:02"
314,163989,160,0.0893939393939394,4,0.335451080050826,0.622222222222222,578,0,"2007-08-09 22:31:49"
33,89204,55,0.285714285714286,2,0.789473684210526,0.571428571428571,134,17,"2006-11-14 12:00:46"
51,238234,101,0.0388888888888889,2,0.216346153846154,0.194444444444444,834,211,"2006-10-06 19:32:53"
22,223050,71,0.0824175824175824,2,0,0,279,8,"2006-04-23 05:41:24"
7,45766,16,0.416666666666667,2,0.6,0,25,5,"2004-10-28 12:57:35"
37,54003,32,0.233333333333333,3,0.618556701030928,0.6875,29,11,"2009-11-21 00:20:04"
37,113260,131,0.147058823529412,5,0.732954545454545,0.611111111111111,216,65,"2008-10-16 18:41:08"
65,70702,167,0.0568783068783069,3,0.293814432989691,0.25,304,81,"2007-06-07 02:08:58"
103,229367,208,0.0685990338164251,5,0.464856230031949,0.608695652173913,235,58,"2004-11-11 23:33:14"
25,110138,27,0.238095238095238,2,0.176470588235294,0.428571428571429,13,1,"2008-05-30 19:10:07"
10,106815,78,0.25,1,0,0,616,0,"2007-08-27 23:01:51"
7,31213,5,0.666666666666667,2,0,0,74,44,"2009-06-19 16:37:06"
33,169155,222,0.0980392156862745,2,0.795180722891566,0.444444444444444,480,444,"2007-09-01 03:03:23"
31,215872,96,0.183823529411765,3,0.656862745098039,0.588235294117647,60,35,"2007-02-26 11:17:11"
31,175401,61,0.0822510822510823,2,0.872340425531915,0.545454545454545,946,219,"2006-11-03 03:11:25"
61,101329,141,0.16600790513834,5,0.57331136738056,0.739130434782609,197,147,"2006-04-11 05:57:33"
64,1007750,268,0.0235892691951896,2,0.0143129770992366,0,1816,54,"2004-11-11 23:33:14"
480,252873,23,0.190217391304348,3,0.48698315467075,0.666666666666667,17,1,"2009-01-21 23:50:23"
85,118100,89,0.151515151515152,5,0.5263509006004,0.882352941176471,553,49,"2004-11-11 23:33:14"
85,67475,16,0.309090909090909,3,0.454545454545454,0.727272727272727,797,6,"2004-11-11 23:33:14"
90,71607,149,0.0201636469900643,3,0.0144727773949001,0.0847457627118644,39,3,"2007-07-18 18:02:08"
60,63188,46,0.0555555555555556,3,0.250379362670713,0.324324324324324,783,6,"2006-06-28 13:12:29"
1,218159,308,0.5,1,NA,0,60,56,"2009-07-01 01:47:06"
359,312233,96,0.185714285714286,4,0.548048048048048,0.885714285714286,355,51,"2008-01-26 00:02:29"
7,87389,164,0.5,1,1,0,346,172,"2006-01-09 15:56:28"
30,92215,78,0.0952380952380952,3,0.0821917808219178,0.2,140,107,"2008-01-03 06:05:12"
0,37803,101,NA,0,NA,NA,8,1,"2006-01-29 12:21:59"
3,648491,200,0.333333333333333,2,0.6,0,808,5,"2007-09-23 15:19:28"
88,208608,89,0.139492753623188,5,0.458333333333333,0.916666666666667,19,14,"2006-02-16 01:51:58"
13,280550,79,0.2,2,0.75,0,572,146,"2007-09-07 17:31:29"
35,63100,55,0.172727272727273,3,0.305084745762712,0.545454545454545,311,114,"2007-02-06 17:26:02"
85,217813,86,0.0420731707317073,5,0.117340286831812,0.219512195121951,526,168,"2008-03-23 23:14:05"
49,90617,167,0.176470588235294,4,0.593155893536122,0.666666666666667,768,96,"2007-08-09 22:31:49"
115,493009,14,0.166666666666667,1,NA,0,1297,18,"2005-04-07 12:22:36"
0,52646,4,NA,0,NA,NA,20,13,"2006-08-29 03:31:03"
92,512779,71,0.133903133903134,4,0.494780793319415,0.592592592592593,4,1,"2009-07-04 06:55:26"
9,301181,11,0.666666666666667,1,1,0,149,91,"2007-12-14 13:23:13"
5,731747,24,1,1,NA,0,1012,24,"2004-11-11 23:33:14"
16,95776,96,0.115384615384615,3,0.545454545454545,0.357142857142857,842,343,"2007-07-28 09:30:15"
51,57987,74,0.21969696969697,3,0.621951219512195,0.583333333333333,114,8,"2009-06-16 00:04:08"
255,41509,33,0.175384615384615,4,0.534510433386838,0.730769230769231,815,1,"2006-01-09 15:56:28"
160,243578,44,0.155,3,0.494704992435703,0.64,21,17,"2007-01-09 04:52:46"
6,54264,7,0.333333333333333,2,0.6,0,294,1,"2007-02-11 12:04:46"
11,357180,15,0.238095238095238,3,0.6,0.571428571428571,47,9,"2009-08-14 19:00:37"
8,194670,17,0.2,1,0.25,0,729,7,"2004-11-11 23:33:14"
50,142823,187,0.140522875816993,3,0.370786516853933,0.555555555555556,48,29,"2008-08-17 13:18:18"
411,54043,33,0.135483870967742,3,0.366748166259169,0.580645161290323,12,6,"2008-01-08 21:01:31"
10,97767,20,0.160714285714286,3,0.666666666666667,0,127,15,"2007-12-02 05:45:04"
105,74527,74,0.113756613756614,5,0.389162561576355,0.607142857142857,7,5,"2007-04-04 03:48:22"
119,79341,82,0.0304071919619249,4,0.143530997304582,0.193548387096774,36,10,"2008-01-02 19:10:18"
31,199574,53,0.571428571428571,3,0.78,0.857142857142857,6,0,"2007-12-30 04:23:22"
250,184521,77,0.171182266009852,3,0.510253317249698,0.758620689655172,78,32,"2008-05-23 20:54:16"
106,90560,32,0.342857142857143,3,0.61631419939577,0.8,105,82,"2009-04-13 09:26:24"
71,79345,14,0.466666666666667,4,0.735483870967742,1,6,4,"2009-07-13 22:08:32"
89,331743,79,0.107142857142857,4,0.439655172413793,0.571428571428571,309,215,"2008-01-05 03:59:06"
7,79924,50,0.45,2,0.8,0.8,339,267,"2007-09-26 19:19:54"
87,820949,93,0.128676470588235,4,0.4375,0.411764705882353,194,123,"2007-01-31 20:06:01"
62,190015,67,0.102216748768473,3,0.393135725429017,0.517241379310345,198,56,"2004-11-11 23:33:14"
301,79752,304,0.0188635840809754,6,0.226943346508564,0.438271604938272,67,0,"2006-04-30 04:57:49"
